Tc, nu1, nu2, mu, sigma, skew, kurtosis, mean_sq_err
1.000000, 0.100000, 0.001000, 0.000370798839, 0.001825537225, -0.174494589894, 1.123119535628, 48.614651049401
1.000000, 0.100000, 0.002000, 0.000373149272, 0.001773174344, -0.021406707194, 1.587446796480, 45.453824818500
1.000000, 0.100000, 0.003000, 0.000398084031, 0.002260911800, 0.020718830373, 1.069166045726, 49.022099570653
1.000000, 0.100000, 0.004000, 0.000384676687, 0.002252662332, 0.059514918009, 0.651510852267, 51.997041381205
1.000000, 0.100000, 0.005000, 0.000378322307, 0.002078241941, 0.041951119831, 0.877201105186, 50.379266656701
1.000000, 0.100000, 0.006000, 0.000396133473, 0.002237696132, 0.018275107602, 0.564023006474, 52.620665922746
1.000000, 0.100000, 0.007000, 0.000373801134, 0.002515906793, -0.195786233368, 0.730506388930, 51.388136341698
1.000000, 0.100000, 0.008000, 0.000402335545, 0.002323640706, 0.052124321714, 1.045234881323, 49.196425334812
1.000000, 0.100000, 0.009000, 0.000402829103, 0.002463446549, 0.022487435542, 0.907536739732, 50.160166287349
1.000000, 0.200000, 0.001000, 0.000382027614, 0.002343138408, -0.016132469966, 1.385225678727, 46.827877878558
1.000000, 0.200000, 0.002000, 0.000371469235, 0.002747308587, 0.036302954535, 0.477844638898, 53.251174051749
1.000000, 0.200000, 0.003000, 0.000399222132, 0.002205649166, 0.037858891029, 2.066740372888, 42.292898614260
1.000000, 0.200000, 0.004000, 0.000402672623, 0.003172183285, -0.100896419202, 0.741034208646, 51.324173739458
1.000000, 0.200000, 0.005000, 0.000375392908, 0.002888377302, -0.008669805538, 0.663750784593, 51.894687998620
1.000000, 0.200000, 0.006000, 0.000388032865, 0.003231388663, -0.035563002781, 0.592769326690, 52.402152982703
1.000000, 0.200000, 0.007000, 0.000388466247, 0.002933194498, 0.023581746879, 0.656363512648, 51.954311732701
1.000000, 0.200000, 0.008000, 0.000375306921, 0.003022630307, 0.103513308867, 1.064641864006, 49.072488460817
1.000000, 0.200000, 0.009000, 0.000378760452, 0.003134392500, -0.027329683104, 0.456848503643, 53.391875251913
1.000000, 0.300000, 0.001000, 0.000370191513, 0.002261300037, -0.014916868478, 2.513176177489, 39.430393366504
1.000000, 0.300000, 0.002000, 0.000375090502, 0.002464706745, -0.124531235344, 3.068188114113, 36.006273721236
1.000000, 0.300000, 0.003000, 0.000400594555, 0.002325976095, -0.017815207978, 2.206389551997, 41.378944251756
1.000000, 0.300000, 0.004000, 0.000396198839, 0.002729731341, 0.007211030975, 1.634190304829, 45.144823748878
1.000000, 0.300000, 0.005000, 0.000377103465, 0.002909374796, -0.100689215707, 1.733000334334, 44.465120741241
1.000000, 0.300000, 0.006000, 0.000405255687, 0.002989186326, -0.001851973823, 1.726046761058, 44.528239068770
1.000000, 0.300000, 0.007000, 0.000394292608, 0.003217394477, 0.082178811150, 1.021234825354, 49.371690768624
1.000000, 0.300000, 0.008000, 0.000383712798, 0.003289554575, -0.009614711000, 1.317552805802, 47.293166232089
1.000000, 0.300000, 0.009000, 0.000400517630, 0.003409683397, 0.155940830884, 2.095520733241, 42.134793043899
1.000000, 0.400000, 0.001000, 0.000379778410, 0.002783497635, 0.116720010182, 1.774682442044, 44.230964229238
1.000000, 0.400000, 0.002000, 0.000371736114, 0.002818222055, -0.047170568695, 1.911185095371, 43.293627550280
1.000000, 0.400000, 0.003000, 0.000374703311, 0.002371004265, -0.110963461410, 3.260272955460, 34.865020068627
1.000000, 0.400000, 0.004000, 0.000396025771, 0.003179110652, -0.098255944086, 1.614487576986, 45.259066849110
1.000000, 0.400000, 0.005000, 0.000374326231, 0.002906315691, -0.239754707592, 1.699614521785, 44.672674773519
1.000000, 0.400000, 0.006000, 0.000396596617, 0.003106614309, 0.078941016209, 1.387028321882, 46.835585770236
1.000000, 0.400000, 0.007000, 0.000381148856, 0.003214753526, -0.124957238408, 1.836618999275, 43.773648994417
1.000000, 0.400000, 0.008000, 0.000377697214, 0.003751786703, -0.156288454593, 1.729700001139, 44.479846117205
1.000000, 0.400000, 0.009000, 0.000375593633, 0.003395071638, -0.092450124004, 1.446233817511, 46.398657128571
1.000000, 0.500000, 0.001000, 0.000377176550, 0.002972236677, -0.047661158527, 1.930766176943, 43.164842997427
1.000000, 0.500000, 0.002000, 0.000392860159, 0.002203889674, -0.178134930142, 3.927832463383, 31.027570432127
1.000000, 0.500000, 0.003000, 0.000380499476, 0.002460001030, 0.069532998689, 2.729412870094, 38.102489617340
1.000000, 0.500000, 0.004000, 0.000401133740, 0.002923375436, 0.129422131314, 1.903976472178, 43.379139976231
1.000000, 0.500000, 0.005000, 0.000373838014, 0.003373243650, -0.115633619446, 1.387476822226, 46.796339945573
1.000000, 0.500000, 0.006000, 0.000381277066, 0.003395050410, -0.302897595512, 1.763067579914, 44.245847719124
1.000000, 0.500000, 0.007000, 0.000373524799, 0.003634147683, -0.280665580676, 1.538267489683, 45.754857085180
1.000000, 0.500000, 0.008000, 0.000373172361, 0.003146372211, 0.151952926187, 1.618075002930, 45.287116682522
1.000000, 0.500000, 0.009000, 0.000389266841, 0.003436892332, -0.081033203275, 1.335508509843, 47.157496628811
1.000000, 0.600000, 0.001000, 0.000411559397, 0.003817058176, 0.113018247093, 1.141845415797, 48.535855449651
1.000000, 0.600000, 0.002000, 0.000374559487, 0.002757300140, -0.055712018213, 2.458002644028, 39.770212780539
1.000000, 0.600000, 0.003000, 0.000375624786, 0.002883220000, -0.068648913114, 2.609170997696, 38.820816429925
1.000000, 0.600000, 0.004000, 0.000400535181, 0.003057704740, -0.305980907354, 3.247651787018, 34.921838900506
1.000000, 0.600000, 0.005000, 0.000399467175, 0.003206646003, 0.167326511847, 2.744827684309, 38.032330596412
1.000000, 0.600000, 0.006000, 0.000378818188, 0.003093644938, -0.059126193769, 2.247768829186, 41.106036626882
1.000000, 0.600000, 0.007000, 0.000375093599, 0.003185433256, -0.068800120226, 2.591722389032, 38.929546474615
1.000000, 0.600000, 0.008000, 0.000388032423, 0.004081589164, -0.157591668399, 1.440735580440, 46.427467563189
1.000000, 0.600000, 0.009000, 0.000378003521, 0.003635408904, -0.202956675469, 1.469246924757, 46.228669589367
1.000000, 0.700000, 0.001000, 0.000375450103, 0.002444761621, -0.045988851122, 3.450492844388, 33.761323324354
1.000000, 0.700000, 0.002000, 0.000378762214, 0.003038252745, -0.051715418390, 3.206489349223, 35.192374789233
1.000000, 0.700000, 0.003000, 0.000399080982, 0.003583730923, 0.119585218586, 1.870702673325, 43.595862164997
1.000000, 0.700000, 0.004000, 0.000400655523, 0.003702557027, -0.052381480968, 1.915887016834, 43.261814841622
1.000000, 0.700000, 0.005000, 0.000384219932, 0.003130776255, -0.005499338788, 3.140192835868, 35.594960609575
1.000000, 0.700000, 0.006000, 0.000398080168, 0.003107465725, 0.111846226067, 2.255767149872, 41.090399728338
1.000000, 0.700000, 0.007000, 0.000396503011, 0.003539906902, -0.024424557506, 1.768411002813, 44.241854892024
1.000000, 0.700000, 0.008000, 0.000377334185, 0.003481666091, -0.099895846855, 1.677306090608, 44.837302209942
1.000000, 0.700000, 0.009000, 0.000396196169, 0.003746759417, 0.072840334720, 1.799262937521, 44.057113172428
1.000000, 0.800000, 0.001000, 0.000399610392, 0.002302336913, -0.234178555388, 4.333620026604, 28.803655026628
1.000000, 0.800000, 0.002000, 0.000374143753, 0.002969269996, -0.079385169346, 2.404531838113, 40.104194992503
1.000000, 0.800000, 0.003000, 0.000401670594, 0.003378923739, 0.117394852547, 1.942344920609, 43.123908432523
