Tc, nu1, nu2, Mean, Var, Skew, Kurtosis, SE Var, SE Skew, SE Kurt, MSE
2.000000, 0.400000, 0.007000, 0.000390295646, 0.000040262403, -0.116409932846, 1.209381610852, 0.557686175304, 0.492339570764, 0.845901973492, 2.305034432432
2.000000, 0.400000, 0.008000, 0.000365518042, 0.000032395018, -0.182153576113, 2.210875070957, 0.634034791244, 0.284285038027, 0.728047200432, 2.450893383633
2.000000, 0.400000, 0.009000, 0.000372277873, 0.000040063742, -0.030422974871, 0.931223458541, 0.559553812606, 0.850145181526, 0.880203443425, 2.441962250336
2.000000, 0.500000, 0.001000, 0.000405067461, 0.000012468039, 0.253665599156, 4.184388860975, 0.849322025256, 2.722778443105, 0.521671211684, 3.912556635781
2.000000, 0.500000, 0.002000, 0.000372356250, 0.000029804427, -0.162148457499, 1.467662229736, 0.660246644859, 0.341584388320, 0.814662108768, 2.586237648559
2.000000, 0.500000, 0.003000, 0.000414341375, 0.000031602640, 0.158846613457, 1.995949436837, 0.641995787703, 1.979890870047, 0.752594687033, 3.050814478036
2.000000, 0.500000, 0.004000, 0.000374544216, 0.000044315070, -0.060039396877, 0.995230971441, 0.520268031133, 0.715941660631, 0.872249879319, 2.263623950428
2.000000, 0.500000, 0.005000, 0.000381092743, 0.000040369812, -0.112905344072, 1.525962728548, 0.556677714351, 0.505024213273, 0.807691787612, 2.293164381465
2.000000, 0.500000, 0.006000, 0.000385999778, 0.000043689520, -0.051571194934, 1.091199930870, 0.525958915246, 0.753138175046, 0.860392426030, 2.291039917844
2.000000, 0.500000, 0.007000, 0.000384496781, 0.000041615758, -0.062427923655, 1.878197933907, 0.545046202275, 0.705620386481, 0.766216115471, 2.307432841567
2.000000, 0.500000, 0.008000, 0.000397406223, 0.000065788583, -0.030347184149, 0.478010874311, 0.343684407181, 0.850503398764, 0.937552249955, 1.741633240177
2.000000, 0.500000, 0.009000, 0.000404621966, 0.000046362270, 0.011777243674, 1.139167141694, 0.501860224956, 1.061275497112, 0.854496249027, 2.311457998565
2.000000, 0.600000, 0.001000, 0.000365328356, 0.000019822037, -0.014660404060, 4.010754951760, 0.766213686986, 0.926269357114, 0.538451823760, 3.042286016911
2.000000, 0.600000, 0.002000, 0.000368995678, 0.000040436938, -0.102041707351, 1.560499842529, 0.556047928195, 0.545369642219, 0.803576706789, 2.303141876985
2.000000, 0.600000, 0.003000, 0.000408439190, 0.000030739776, 0.100658989436, 2.140511852526, 0.650721450066, 1.582475841080, 0.736038843911, 2.941909728550
2.000000, 0.600000, 0.004000, 0.000363821195, 0.000044065189, -0.050602934230, 1.463747802464, 0.522537586176, 0.757451262229, 0.815131184764, 2.265986102917
2.000000, 0.600000, 0.005000, 0.000363096579, 0.000049172599, -0.192813846758, 1.167847104935, 0.477130547228, 0.255898528212, 0.850980563741, 1.959394854744
2.000000, 0.600000, 0.006000, 0.000366336397, 0.000044254086, 0.042412883135, 1.171867904918, 0.520821463133, 1.229202595175, 0.850488259945, 2.429301828818
2.000000, 0.600000, 0.007000, 0.000375567772, 0.000044405089, -0.238524422053, 1.437271739211, 0.519451638468, 0.151102342644, 0.818307424943, 2.054642050756
2.000000, 0.600000, 0.008000, 0.000363561658, 0.000056745702, 0.039238386071, 1.309138508668, 0.413600793342, 1.211229268024, 0.833766391890, 2.060334531113
2.000000, 0.600000, 0.009000, 0.000370495435, 0.000048713624, 0.147698059814, 1.793144769762, 0.481126647838, 1.900303241888, 0.776131008145, 2.495900242804
2.000000, 0.700000, 0.001000, 0.000367358520, 0.000028017543, -0.080605016989, 2.680658341945, 0.678635892038, 0.629528917620, 0.675808507916, 2.697232115304
2.000000, 0.700000, 0.002000, 0.000364520535, 0.000043295718, -0.029132694027, 1.298531642918, 0.529557378378, 0.856253856293, 0.835052567810, 2.328960069294
2.000000, 0.700000, 0.003000, 0.000403910914, 0.000029484507, 0.112993807570, 2.767720113392, 0.663520450603, 1.663006658139, 0.666341037112, 2.988184067092
2.000000, 0.700000, 0.004000, 0.000389563884, 0.000032066244, -0.146235977397, 2.162755243925, 0.637331950792, 0.390915178854, 0.733507790842, 2.499247492539
2.000000, 0.700000, 0.005000, 0.000412724176, 0.000051493297, -0.053583639286, 1.209901559377, 0.457180400492, 0.744213200930, 0.845838493634, 2.053951899827
2.000000, 0.700000, 0.006000, 0.000404860744, 0.000048831154, -0.119961288666, 1.109606639128, 0.480101771306, 0.479650233505, 0.858127458203, 2.046265134922
2.000000, 0.700000, 0.007000, 0.000389279106, 0.000060541216, -0.015251830002, 1.147421371681, 0.383467449183, 0.923354179249, 0.853483675313, 1.870504115465
2.000000, 0.700000, 0.008000, 0.000403458597, 0.000056302037, 0.077682061695, 0.964247091967, 0.417197532516, 1.437794236237, 0.876095423982, 2.161954995125
2.000000, 0.700000, 0.009000, 0.000367743179, 0.000045503266, -0.060428809685, 1.831632743076, 0.509543764796, 0.714253821670, 0.771636458685, 2.193775976104
2.000000, 0.800000, 0.001000, 0.000412213981, 0.000031652718, -0.049005154569, 3.027298956882, 0.641491186586, 0.764595449562, 0.638509721555, 2.606005678994
2.000000, 0.800000, 0.002000, 0.000365623630, 0.000034021296, -0.043826689517, 1.997363793772, 0.617851206214, 0.787980499992, 0.752431817512, 2.572974793216
2.000000, 0.800000, 0.003000, 0.000376189994, 0.000029356811, 0.169715323782, 2.297368862328, 0.664829449484, 2.059052400994, 0.718283263864, 3.141876719899
2.000000, 0.800000, 0.004000, 0.000412550119, 0.000030498603, 0.132427617319, 2.913004966744, 0.653170828881, 1.793939774263, 0.650690849778, 2.992112970950
2.000000, 0.800000, 0.005000, 0.000396672735, 0.000043441067, -0.059253067843, 2.196558832399, 0.528227791782, 0.719355932766, 0.729669661073, 2.243767837220
2.000000, 0.800000, 0.006000, 0.000367064046, 0.000049908744, 0.090848549960, 1.153500074958, 0.470756055005, 1.519852908838, 0.852738364486, 2.360050607791
2.000000, 0.800000, 0.007000, 0.000372565731, 0.000048644855, 0.003513383871, 1.461546484058, 0.481726822093, 1.018088999634, 0.815395033780, 2.216917418116
2.000000, 0.800000, 0.008000, 0.000364397364, 0.000045306243, -0.013996634793, 1.390732909195, 0.511314302058, 0.929546592034, 0.823905494423, 2.288865035678
2.000000, 0.800000, 0.009000, 0.000358583263, 0.000059312024, -0.136322603930, 1.654582115546, 0.393101475350, 0.423329429181, 0.792420157524, 1.715588113400
2.000000, 0.900000, 0.001000, 0.000387057923, 0.000031106972, -0.133895028493, 2.648273042101, 0.647001002054, 0.431463753691, 0.679347266080, 2.526940346772
2.000000, 0.900000, 0.002000, 0.000415549050, 0.000029747144, -0.103877785584, 2.635898799677, 0.660832235218, 0.538441943225, 0.680701845845, 2.609155380415
2.000000, 0.900000, 0.003000, 0.000365792098, 0.000037592297, -0.081249766788, 1.477081395786, 0.583049189842, 0.626909620565, 0.813533938897, 2.423645152629
2.000000, 0.900000, 0.004000, 0.000401741314, 0.000050240670, 0.031119378991, 1.636521450318, 0.467895831175, 1.165863386854, 0.794555795030, 2.213125831210
2.000000, 0.900000, 0.005000, 0.000396792701, 0.000044665405, -0.008708838458, 1.522386216709, 0.517094408952, 0.955860775293, 0.808118527829, 2.311641130881
2.000000, 0.900000, 0.006000, 0.000408128569, 0.000045904299, -0.113563676946, 1.486589143627, 0.505949378492, 0.502629111581, 0.812395952009, 2.124839616169
2.000000, 0.900000, 0.007000, 0.000406552603, 0.000054649010, 0.024825623631, 1.080016118408, 0.430735496303, 1.131292071356, 0.861770065656, 2.100139033347
2.000000, 0.900000, 0.008000, 0.000381147697, 0.000053009359, 0.056426552741, 1.508664985271, 0.444377462485, 1.310126979870, 0.809756755571, 2.187886120098
2.000000, 0.900000, 0.009000, 0.000376483772, 0.000060829019, 0.069865891432, 1.270373865840, 0.381229001345, 1.390157961778, 0.838471754988, 2.013639910073
3.000000, 0.100000, 0.001000, 0.000413988741, 0.000023825734, -0.006434391993, 0.560086288074, 0.722766064479, 0.967292292587, 0.927032361797, 3.040661766393
3.000000, 0.100000, 0.002000, 0.000416748936, 0.000018068715, -0.060154544017, 1.974934024889, 0.785639758914, 0.715442368890, 0.755016782215, 3.108952246749
